solve time,Result,Name
0.022892,SAT-VERIFIED,mrpp_4x4#4_5
5000,UNKNOWN,MUS-v320-2
73.0357,SAT-VERIFIED,sgen1-sat-140-100
2.60219,SAT-VERIFIED,jgiraldezlevy.2200.9086.08.40.62
5000,UNKNOWN,tph8
5000,UNKNOWN,rphp5_060_shuffled
2624.9,UNSAT,ecgrid6x115_shuffled
19.8783,SAT-VERIFIED,f600
289.615,UNSAT,tph6
5000,UNKNOWN,eulcbip-8-UNSAT.sat05-3937.reshuffled-07
0.013821,UNSAT,modgen-n200-m90860q08c40-6295
5000,UNKNOWN,tseitingrid6x145_shuffled
4882.78,SAT-VERIFIED,aes_24_4_keyfind_5
5000,UNKNOWN,gto_p50c314
2082.83,UNSAT,hwb-n28-01-S136611085.shuffled-as.sat03-1627
4094.8,UNSAT,bivium-40-200-0s0-0x66b619d7b8e447710bf43b794ded6cfaf1e75bb8a947e14c78-50
1388.65,UNSAT,mp1-bsat201-707
5000,UNKNOWN,sgen1-sat-230-100
5000,UNKNOWN,eqspctbk12bpwtrc12
1087.02,UNSAT,dimacs
590.165,UNSAT,contest04-lksat-n1100-m7545-k4-l4-s310659001.sat05-524.reshuffled-07
128.507,SAT-VERIFIED,jgiraldezlevy.2200.9086.08.40.136
7.59553,SAT-VERIFIED,modgen-n200-m90860q08c40-1585
2377.15,UNSAT,pmg-11-UNSAT.sat05-3939.reshuffled-07
1928.39,UNSAT,sat_prob_83
5000,UNKNOWN,VanDerWaerden_2-3-14_186
420.161,UNSAT,size_4_4_4_i2704_r8
257.012,UNSAT,size_4_4_4_i4295_r8
53.7135,UNSAT,WS_300_24_90_10.apx_0
194.203,SAT-VERIFIED,170222843
5000,UNKNOWN,rphp5_065_shuffled
2842.66,UNSAT,MUS-v330-1
479.671,UNSAT,fixedbandwidth-eq-42_shuffled
150.207,UNSAT,hid-uns-enc-6-1-0-0-0-0-6441
230.211,SAT-VERIFIED,mod2c-rand3bip-sat-220-2.sat05-2489.reshuffled-07
