solve time,Result,Name
1.90916,UNSAT,manthey_single-ordered-initialized-w26-b8
6.2837,SAT-VERIFIED,manthey_DimacsSorterHalf_33_1
28.5061,SAT-VERIFIED,manthey_DimacsSorter_35_1
5000,UNKNOWN,Schur_160_5_d25
1.43838,SAT-VERIFIED,mrpp_6x6#14_10
437.097,SAT-VERIFIED,sp5-21-15-una-nons-tree-noid
3159.37,UNSAT,hitag2-10-60-0-0x2201a94920a2d2e-8
5000,UNKNOWN,58bits_13.dimacs
660.79,UNSAT,SGI_30_70_20_60_10-dir.shuffled-as.sat03-144
61.0652,SAT-VERIFIED,manthey_DimacsSorterHalf_30_7
109.563,SAT-VERIFIED,manthey_DimacsSorter_36_7
578.735,UNSAT,Schur_161_5_d41
5000,UNKNOWN,Schur_160_5_d34
3134.08,UNSAT,hitag2-8-60-0-0xa3b8497b8aad6d7-42
0.276037,UNSAT,manthey_single-ordered-initialized-w20-b7
5000,UNKNOWN,Schur_160_5_d33
609.163,SAT-VERIFIED,46bits_14.dimacs
6.49082,SAT-VERIFIED,manthey_DimacsSorterHalf_30_0
5000,UNKNOWN,rphp4_150_shuffled
3.93286,SAT-VERIFIED,manthey_DimacsSorter_31_4
0.066742,SAT-VERIFIED,manthey_single-ordered-initialized-w20-b10
5000,UNKNOWN,rphp5_100_shuffled
3299.97,UNSAT,satch2ways15u
5000,UNKNOWN,Schur_161_5_d34
174.302,SAT-VERIFIED,Schur_160_5_d41
799.882,UNSAT,QG7-dead-dnd002.sat05-3108.reshuffled-07
5000,UNKNOWN,tseitingrid7x185_shuffled
4.05182,SAT-VERIFIED,Hidoku_enu_6
3075.77,UNSAT,hitag2-10-60-0-0xe14721bd199894a-99
5000,UNKNOWN,Schur_161_5_d33
5000,UNKNOWN,sted5_0x1e3-20
4552.7,SAT-VERIFIED,manthey_DimacsSorterHalf_37_3
4.51364,UNSAT,mrpp_6x6#18_9
309.772,SAT-VERIFIED,Sz512_15128_1.smt2-cvc4
2.14537,SAT-VERIFIED,mrpp_4x4#10_16
3132.23,UNSAT,hitag2-10-60-0-0xe6754daf48162bf-46
160.253,SAT-VERIFIED,prime_a24_b24
2649.82,UNSAT,hitag2-8-60-0-0xdcdbc8bf368ee73-37
2340.18,UNSAT,hitag2-10-60-0-0x8edc44db7837bbf-65
5000,UNKNOWN,rbsat-v760c43649g8
370.868,SAT-VERIFIED,toughsat_factoring_895s
5000,UNKNOWN,p160_2
192.54,UNSAT,AProVE07-03
5000,UNKNOWN,quad_res_r33_m36
5000,UNKNOWN,Ptn-7824-b04
2783.86,UNSAT,rphp4_100_shuffled
5000,UNKNOWN,toughsat_factoring_inf
5000,UNKNOWN,Ptn-7824-b03
364.582,SAT-VERIFIED,manthey_DimacsSorterHalf_32_1
189.27,UNSAT,VanDerWaerden_pd_2-3-20_390
121.89,SAT-VERIFIED,manthey_DimacsSorterHalf_37_9
5000,UNKNOWN,Schur_160_5_d30
21.2867,UNSAT,mrpp_6x6#20_10
5000,UNKNOWN,62bits_14.dimacs
21.2762,SAT-VERIFIED,manthey_DimacsSorterHalf_30_3
0.985985,SAT-VERIFIED,mrpp_4x4#6_20
5000,UNKNOWN,Schur_161_5_d39
1184,SAT-VERIFIED,50bits_13.dimacs
218.364,SAT-VERIFIED,manthey_DimacsSorter_29_8
444.606,SAT-VERIFIED,48bits_14.dimacs
33.0535,SAT-VERIFIED,manthey_DimacsSorter_36_4
373.614,SAT-VERIFIED,Sz512_15128_0.smt2-stp212
165.587,SAT-VERIFIED,44bits_11.dimacs
417.184,UNSAT,Schur_161_5_d42
6.47503,SAT-VERIFIED,em_7_4_9_all
2138.44,SAT-VERIFIED,fermat-907547022132073
4731.54,SAT-VERIFIED,Schur_160_5_d37
5000,UNKNOWN,ecgrid6x215_shuffled
2.38535,SAT-VERIFIED,mrpp_4x4#10_20
5000,UNKNOWN,Schur_161_5_d30
10.591,UNSAT,mrpp_4x4#12_12
11.7968,SAT-VERIFIED,manthey_DimacsSorter_31_0
807.881,SAT-VERIFIED,Schur_160_5_d39
1805.51,SAT-VERIFIED,Grain_no_init_ver1_out200_known_last104_0
0.059019,SAT-VERIFIED,Chvatal-k5
4474.07,UNSAT,rphp4_110_shuffled
5000,UNKNOWN,Schur_161_5_d37
6.17962,SAT-VERIFIED,mrpp_6x6#18_10
5000,UNKNOWN,64bits_13.dimacs
88.3846,SAT-VERIFIED,Schur_160_5_d42
365.071,UNSAT,ablmulub2x32o
87.6826,SAT-VERIFIED,prime_a20_b20
627.854,SAT-VERIFIED,Ptn-7824-b09
1478.05,SAT-VERIFIED,fermat-770131695059117
5000,UNKNOWN,full-bg-gb-6-ce
3308.42,UNSAT,hitag2-10-60-0-0xa04d664a73eac4d-66
5000,UNKNOWN,p160_1
5000,UNKNOWN,rphp4_140_shuffled
1034.86,UNSAT,mp1-klieber2017s-2000-022-eq
1305.27,SAT-VERIFIED,manthey_DimacsSorterHalf_35_8
5000,UNKNOWN,tseitingrid7x195_shuffled
5000,UNKNOWN,Ptn-7824-b07
2591.93,UNSAT,hitag2-7-60-0-0x5f8ec0ffa4b15c6-25
759.546,UNSAT,sat_prob_3
5000,UNKNOWN,custmulun16x16o
4583.03,SAT-VERIFIED,manthey_DimacsSorter_37_3
5000,UNKNOWN,tseitingrid7x190_shuffled
236.542,SAT-VERIFIED,Ptn-7824-b16
4.32488,UNSAT,6s168-opt
5000,UNKNOWN,rphp4_145_shuffled
9.94435,SAT-VERIFIED,manthey_DimacsSorterHalf_29_2
982.901,SAT-VERIFIED,Ptn-7824-b11
37.9141,SAT-VERIFIED,manthey_DimacsSorterHalf_36_0
5000,UNKNOWN,ecgrid6x240_shuffled
775.63,SAT-VERIFIED,Grain_no_init_ver1_out200_known_last105_0
4989.74,UNSAT,hitag2-8-60-0-0xb2021557d918860-94
3.21695,UNSAT,manthey_single-ordered-initialized-w28-b8
0.722516,SAT-VERIFIED,mrpp_4x4#8_10
2817.97,UNSAT,VanDerWaerden_pd_2-3-23_507
602.082,SAT-VERIFIED,Ptn-7824-b18
109.507,SAT-VERIFIED,manthey_DimacsSorterHalf_36_7
1074.36,SAT-VERIFIED,50bits_14.dimacs
363.119,SAT-VERIFIED,manthey_DimacsSorter_32_1
5000,UNKNOWN,Schur_161_5_d26
5000,UNKNOWN,Sz512_15127_5.smt2-stp212
5000,UNKNOWN,sat_prob_143
5000,UNKNOWN,Schur_161_5_d21
0.254669,SAT-VERIFIED,mrpp_6x6#10_8
5000,UNKNOWN,Schur_160_5_d28
5000,UNKNOWN,rphp4_115_shuffled
87.2127,SAT-VERIFIED,VanDerWaerden_pd_2-3-20_388
5000,UNKNOWN,am_7_7.shuffled-as.sat03-363
809.486,SAT-VERIFIED,48bits_13.dimacs
5000,UNKNOWN,tseitingrid7x200_shuffled
81.5656,SAT-VERIFIED,46bits_12.dimacs
5000,UNKNOWN,Schur_160_5_d26
9.10993,SAT-VERIFIED,em_7_4_9_cmp
968.8,SAT-VERIFIED,sp5-21-15-one-nons-tree-noid
158.646,SAT-VERIFIED,ASG_96_len112_known_last12_2_u
5000,UNKNOWN,Schur_160_5_d21
0.349194,SAT-VERIFIED,complete-400-0.1-16-98765432140016
3341.87,UNSAT,ecgrid6x210_shuffled
285.948,SAT-VERIFIED,em_8_4_5_cmp
5000,UNKNOWN,quad_res_r35_m36
5000,UNKNOWN,Schur_161_5_d28
5000,UNKNOWN,full-bf-ga-6-ce
5000,UNKNOWN,sp5-26-19-bin-nons-tree-noid
5000,UNKNOWN,Ptn-7824-b06
0.020132,SAT-VERIFIED,e2a_2.c.smt2-cvc4
144.247,SAT-VERIFIED,sted5_0x1e3-120
21.591,SAT-VERIFIED,em_7_4_9_fbc
5000,UNKNOWN,rphp4_135_shuffled
808.197,SAT-VERIFIED,manthey_DimacsSorterHalf_35_9
5000,UNKNOWN,64bits_11.dimacs
5000,UNKNOWN,Sz512_15127_6.smt2-stp212
2378.42,UNSAT,hitag2-10-60-0-0xbc15b17d0353413-10
951.327,UNSAT,rphp4_080_shuffled
5000,UNKNOWN,Ptn-7824-b01
2.97033,UNSAT,6s169-opt
2901.61,UNSAT,hitag2-10-60-0-0xfee9637399d85a2-78
759.457,SAT-VERIFIED,50bits_11.dimacs
3012.55,UNSAT,hitag2-10-60-0-0xb7b72dfef34c17b-39
1470.93,SAT-VERIFIED,Ptn-7824-b08
15.7297,SAT-VERIFIED,40bits_10.dimacs
4031.66,UNSAT,hitag2-10-60-0-0xac23f1205f76343-96
5000,UNKNOWN,ecgrid6x230_shuffled
8.46271,SAT-VERIFIED,manthey_DimacsSorter_31_6
3374.33,UNSAT,hitag2-10-60-0-0xa360966c6eb75c4-62
105.112,SAT-VERIFIED,manthey_DimacsSorterHalf_37_6
5000,UNKNOWN,mulhs016
322.06,UNSAT,QG7-gensys-icl006.sat05-3132.reshuffled-07
5000,UNKNOWN,Schur_161_5_d36
60.6767,SAT-VERIFIED,Schur_160_5_d43
129.027,UNSAT,simon-mixed-s02bis-05
600.686,UNSAT,QG7-dead-dnd005.sat05-3111.reshuffled-07
5000,UNKNOWN,rphp5_080_shuffled
2363.54,SAT-VERIFIED,VanDerWaerden_pd_2-3-24_567
5000,UNKNOWN,Schur_161_5_d31
5000,UNKNOWN,rphp5_075_shuffled
2781.88,SAT-VERIFIED,Schur_160_5_d38
163.503,UNSAT,AProVE07-02
2533.68,UNSAT,VanDerWaerden_pd_2-3-22_464
5000,UNKNOWN,uum16.smt2-cvc4
232.891,UNSAT,Schur_161_5_d43
8.42011,SAT-VERIFIED,frb-40-19-1-mgd_c18
5000,UNKNOWN,Schur_160_5_d36
124.026,SAT-VERIFIED,manthey_DimacsSorterHalf_28_4
5000,UNKNOWN,quad_res_r34_m36
8.83779,SAT-VERIFIED,manthey_DimacsSorter_31_8
31.2715,UNSAT,satch2ways12u
2.1307,SAT-VERIFIED,manthey_DimacsSorterHalf_37_8
5000,UNKNOWN,Schur_160_5_d31
5000,UNKNOWN,Schur_161_5_d38
245.79,SAT-VERIFIED,hitag2-8-60-0-0x880693399044612-25-SAT
951.214,UNSAT,ASG_96_len112_known_last13_2_u
328.811,SAT-VERIFIED,prime_a22_b22
5000,UNKNOWN,Schur_160_5_d20
26.2758,SAT-VERIFIED,em_7_4_8_all
555.665,SAT-VERIFIED,toughsat_factoring_426s
5000,UNKNOWN,Schur_161_5_d29
5000,UNKNOWN,custmulsb2x32o
649.808,SAT-VERIFIED,sp5-21-15-bin-stri-flat-noid
1.5095,SAT-VERIFIED,289-unsat-6x30
5000,UNKNOWN,hid-uns-enc-7-1-0-0-0-0-20364
5000,UNKNOWN,Schur_160_5_d27
3269.4,SAT-VERIFIED,hitag2-7-60-0-0xc048b9ebae66e9d-32-SAT
544.326,SAT-VERIFIED,rbsat-v760c43649gyes4
2643.61,UNSAT,satch2ways15wu
5000,UNKNOWN,Schur_161_5_d20
5000,UNKNOWN,rphp5_085_shuffled
5000,UNKNOWN,rphp4_160_shuffled
5000,UNKNOWN,Schur_160_5_d29
5000,UNKNOWN,sp5-26-19-bin-stri-flat-noid
11.0154,SAT-VERIFIED,DLTM_twitter405_71_12
5000,UNKNOWN,Schur_161_5_d27
5000,UNKNOWN,rphp5_070_shuffled
135.908,SAT-VERIFIED,knight_14
152.953,SAT-VERIFIED,Ptn-7824-b19
89.8088,UNSAT,maxxor032
42.9966,SAT-VERIFIED,manthey_DimacsSorter_28_7
36.9859,SAT-VERIFIED,manthey_DimacsSorter_30_6
0.013278,UNSAT,mrpp_6x6#12_8
5000,UNKNOWN,quad_res_r32_m35
16.28,SAT-VERIFIED,manthey_DimacsSorter_30_1
267.523,SAT-VERIFIED,Sz512_15128_1.smt2
5000,UNKNOWN,am_9_9
14.602,SAT-VERIFIED,52bits_12.dimacs
5.84046,SAT-VERIFIED,manthey_DimacsSorter_28_0
5000,UNKNOWN,62bits_11.dimacs
0.257459,UNSAT,gt-ordering-unsat-gt-035.sat05-1308.reshuffled-07
5000,UNKNOWN,58bits_10.dimacs
4694.6,SAT-VERIFIED,Ptn-7824-b10
4.23307,SAT-VERIFIED,manthey_DimacsSorterHalf_31_2
1172.84,UNSAT,rphp4_085_shuffled
5000,UNKNOWN,tph12
139.608,SAT-VERIFIED,Ptn-7824-b17
24.7815,SAT-VERIFIED,rbsat-v760c43649g6
521.927,SAT-VERIFIED,48bits_11.dimacs
5000,UNKNOWN,rphp4_130_shuffled
